timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1766834314963,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-26,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/26/receive,2,0,0
1766834314966,2,5-买家评价,401,,50并发-确认收货+评价流程 1-26,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315046,18,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-27,,false,,2579,1187,1,1,null,0,4,1
1766834315047,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-27,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834315053,4,2-卖家发货,401,,50并发-确认收货+评价流程 1-27,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/27/ship,4,0,0
1766834315058,4,3-买家登录,401,,50并发-确认收货+评价流程 1-27,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,3,0,0
1766834315062,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-27,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/27/receive,2,0,0
1766834315065,2,5-买家评价,401,,50并发-确认收货+评价流程 1-27,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315147,17,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-28,,false,,2579,1187,1,1,null,0,2,1
1766834315147,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-28,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834315153,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-28,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/28/ship,3,0,0
1766834315157,3,3-买家登录,401,,50并发-确认收货+评价流程 1-28,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,3,0,0
1766834315160,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-28,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/28/receive,2,0,0
1766834315163,3,5-买家评价,401,,50并发-确认收货+评价流程 1-28,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834315246,16,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-29,,false,,2579,1187,1,1,null,0,3,1
1766834315246,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-29,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834315252,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-29,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/29/ship,2,0,0
1766834315255,4,3-买家登录,401,,50并发-确认收货+评价流程 1-29,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834315260,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-29,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/29/receive,2,0,0
1766834315263,2,5-买家评价,401,,50并发-确认收货+评价流程 1-29,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315348,17,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-30,,false,,2579,1187,1,1,null,0,4,1
1766834315348,7,1-卖家登录,401,,50并发-确认收货+评价流程 1-30,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834315356,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-30,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/30/ship,2,0,0
1766834315359,3,3-买家登录,401,,50并发-确认收货+评价流程 1-30,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,3,0,0
1766834315362,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-30,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/30/receive,3,0,0
1766834315366,2,5-买家评价,401,,50并发-确认收货+评价流程 1-30,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315447,18,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-31,,false,,2579,1187,1,1,null,0,1,1
1766834315447,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-31,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834315453,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-31,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/31/ship,3,0,0
1766834315457,3,3-买家登录,401,,50并发-确认收货+评价流程 1-31,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,3,0,0
1766834315460,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-31,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/31/receive,3,0,0
1766834315463,3,5-买家评价,401,,50并发-确认收货+评价流程 1-31,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315545,94,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-32,,false,,2579,1187,1,1,null,0,5,0
1766834315546,45,1-卖家登录,401,,50并发-确认收货+评价流程 1-32,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,45,0,0
1766834315591,35,2-卖家发货,401,,50并发-确认收货+评价流程 1-32,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/32/ship,35,0,0
1766834315627,8,3-买家登录,401,,50并发-确认收货+评价流程 1-32,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,8,0,0
1766834315636,4,4-买家确认收货,401,,50并发-确认收货+评价流程 1-32,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/32/receive,4,0,0
1766834315641,2,5-买家评价,401,,50并发-确认收货+评价流程 1-32,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
